"Actual","Predicted","Probability"
"Normal","Normal",0.539625306713484
"Normal","Member",0.416098175294783
"Normal","Member",0.408927422109559
"Member","Normal",0.523587160165036
"Normal","Member",0.384870989612208
"Normal","Member",0.362613336009557
"Normal","Member",0.412486317954753
"Normal","Member",0.429967916946514
"Normal","Normal",0.592565896764013
"Member","Member",0.408137423210082
"Normal","Member",0.416521788741993
"Normal","Normal",0.646950959390146
"Normal","Normal",0.583936764362224
"Normal","Member",0.37359305633301
"Member","Member",0.397579382061229
"Normal","Member",0.407699070595841
"Normal","Normal",0.619867358058041
"Member","Member",0.334335604546591
"Member","Member",0.467767633878695
"Member","Member",0.498755416636023
"Normal","Member",0.382382910875042
"Member","Member",0.330746680189811
"Member","Member",0.228117664805126
"Member","Member",0.471709135171326
"Normal","Normal",0.515674462224194
"Normal","Member",0.433527673529679
"Normal","Member",0.349148592155944
"Member","Normal",0.559031960185318
"Member","Normal",0.66828713985359
"Normal","Normal",0.544511088403696
"Member","Member",0.398407567400588
"Member","Member",0.377946582128741
"Member","Member",0.470347321469825
"Normal","Member",0.403195547757303
"Normal","Member",0.439929193916537
"Member","Normal",0.552662085573868
"Member","Member",0.347314018491787
"Member","Member",0.484875014130517
"Normal","Member",0.499116581856076
"Normal","Normal",0.576445853900689
"Normal","Member",0.311709268667163
"Member","Normal",0.547620488997103
"Normal","Member",0.328313706500069
"Normal","Normal",0.618455157263001
"Member","Member",0.32073593732934
"Member","Member",0.496458493073908
"Normal","Member",0.42724373579976
"Member","Member",0.432856155544958
"Member","Member",0.279919511574281
"Normal","Member",0.468770585601366
"Member","Member",0.381085842185922
"Member","Member",0.425032036703722
"Member","Member",0.379072706693152
"Member","Normal",0.510632737447859
"Normal","Member",0.434548309736868
"Member","Member",0.311364849347236
"Member","Member",0.287488077467862
"Member","Normal",0.620884116319926
"Member","Member",0.395522901473362
"Member","Member",0.394119275556837
"Normal","Member",0.456313423431849
"Normal","Member",0.356602590530562
"Normal","Member",0.487857701308175
"Member","Normal",0.635328063387162
"Member","Normal",0.557619020317224
"Member","Normal",0.616076308077844
"Normal","Member",0.443457445886059
"Member","Normal",0.570391874344598
"Normal","Member",0.260951156534821
"Member","Normal",0.592085025842786
"Normal","Member",0.320440744080618
"Member","Member",0.427741973029172
"Member","Member",0.411307229465338
"Member","Normal",0.56645527393069
"Member","Member",0.40510469296278
"Member","Member",0.308662206551645
"Normal","Normal",0.502791004740452
"Member","Member",0.29792572118663
"Member","Member",0.258448214555007
"Normal","Member",0.317281372991906
"Member","Member",0.492372670949363
"Member","Member",0.419517544298808
"Member","Member",0.266091793097828
"Member","Member",0.316933710221676
"Normal","Member",0.25776080745028
"Normal","Member",0.491311290992563
"Normal","Member",0.188227808289233
"Normal","Member",0.265746300796227
"Normal","Normal",0.649043021210597
"Normal","Normal",0.523133944132631
"Normal","Member",0.340467655549059
"Member","Member",0.303902964908952
"Member","Member",0.278257348996174
"Member","Member",0.38553684710487
"Member","Member",0.433968898269155
"Normal","Member",0.469408102571659
"Member","Member",0.220376203256414
"Member","Member",0.421031542895199
"Normal","Member",0.416832133207405
"Normal","Member",0.417550167805085
"Member","Member",0.224543369959988
"Normal","Member",0.380365264138563
"Member","Member",0.425180966714343
"Member","Member",0.495609136971098
"Member","Normal",0.508062604436852
"Member","Member",0.423566749784348
"Normal","Member",0.317844329858724
"Member","Member",0.467283617481866
"Normal","Member",0.46144144270988
"Normal","Member",0.372193019048618
"Member","Member",0.406267568566885
"Member","Normal",0.641877914298393
"Member","Member",0.301973645948018
"Normal","Member",0.341175251021929
"Normal","Member",0.252579883624578
"Member","Normal",0.546759186772589
"Member","Member",0.303061633009668
"Normal","Member",0.332622366794908
"Normal","Member",0.363027585895732
"Member","Member",0.470413030471831
"Normal","Member",0.351851798637122
"Member","Normal",0.51550998946582
"Normal","Member",0.492383312538751
"Member","Member",0.206832632155795
"Member","Normal",0.503364704456502
"Normal","Normal",0.512653878130183
"Member","Member",0.406526330884952
"Normal","Normal",0.51640915560417
"Normal","Normal",0.524628351703443
"Member","Normal",0.501376324824919
"Normal","Normal",0.579703495122534
"Member","Normal",0.505643830615952
"Normal","Member",0.328487050603256
